Pays,Budget Moy./Jour (FCFA),Duree Moy. (jours),Preferences,Activites,Hotel 3* (FCFA),Hotel 4* (FCFA),Hotel 5* (FCFA),Saison Propice,Budget Repas Simple (FCFA)
Côte d'Ivoire,45850,10,Plage,Culture,45850,78600,131000,Hiver,3275
Afrique du Sud,52400,14,Nature,Aventure,52400,98250,163750,Été,4585
Seychelles,98250,7,Plage,Détente,131000,196500,327500,Été,9825
Comores,32750,7,Plage,Plongée,39300,65500,98250,Été,2620
Égypte,39300,10,Culture,Histoire,45850,78600,131000,Printemps,3275
Maroc,45850,10,Culture,Détente,52400,85150,144100,Printemps,3930
Turquie,52400,10,Culture,Histoire,58950,91700,150650,Printemps,4585
Algérie,32750,7,Culture,Histoire,39300,72050,117900,Printemps,3275
Botswana,65500,10,Nature,Safari,78600,131000,229250,Hiver,5240
Sénégal,39300,10,Plage,Culture,45850,78600,131000,Hiver,3275
Ghana,32750,10,Culture,Plage,39300,72050,117900,Hiver,2620
Cap-Vert,45850,10,Plage,Détente,52400,85150,144100,Hiver,3930
Kenya,58950,14,Nature,Safari,65500,111350,196500,Printemps,4585
Zimbabwe,52400,10,Nature,Aventure,58950,98250,163750,Printemps,3930
Tunisie,39300,10,Plage,Histoire,45850,78600,131000,Printemps,3275
Madagascar,45850,10,Nature,Plongée,52400,85150,144100,Été,3930
Angola,52400,10,Nature,Culture,58950,98250,163750,Été,4585
Namibie,52400,10,Nature,Safari,58950,98250,163750,Été,4585
Nigeria,45850,7,Culture,Histoire,45850,78600,131000,Hiver,3275
Mali,39300,7,Culture,Histoire,39300,72050,117900,Hiver,2620
Ouganda,32750,7,Nature,Safari,39300,72050,117900,Printemps,2620
Tanzanie,45850,10,Nature,Safari,52400,85150,144100,Été,3930
Maurice,65500,7,Plage,Détente,98250,163750,262000,Été,6550
Rwanda,39300,7,Nature,Culture,45850,78600,131000,Printemps,3275
Ethiopie,32750,7,Culture,Histoire,39300,72050,117900,Printemps,2620
Gabon,58950,10,Nature,Safari,65500,111350,196500,Été,5240
Zambie,39300,7,Nature,Safari,39300,72050,117900,Hiver,3275
Malawi,32750,7,Nature,Nature,39300,72050,117900,Été,2620
Mozambique,26200,7,Nature,Nature,32750,58950,98250,Été,1965
Burkina Faso,39300,7,Culture,Histoire,39300,72050,117900,Hiver,3275
Libye,45850,7,Culture,Histoire,45850,78600,131000,Printemps,3930
